timestamp,temperature,humidity
2025-08-08 12:30:28,26.0,45.0
2025-08-08 12:35:28,26.0,45.0
2025-08-08 12:40:28,24.1,55.0
2025-08-08 12:45:28,24.1,55.0
2025-08-08 12:50:28,24.1,55.0
2025-08-08 12:55:28,24.1,55.0
2025-08-08 13:00:28,24.1,55.0
2025-08-08 13:10:28,24.2,55.0
2025-08-08 13:20:28,24.2,55.0
2025-08-08 13:30:28,24.2,55.0
2025-08-08 13:40:28,24.2,55.0
2025-08-08 13:50:28,24.2,54.0
2025-08-08 14:00:28,24.2,54.0
2025-08-08 14:10:28,24.2,54.0
2025-08-08 14:20:28,24.2,54.0
2025-08-08 14:30:28,24.2,54.0
2025-08-08 14:40:28,24.2,54.0
2025-08-08 14:50:28,24.2,54.0
2025-08-08 15:00:28,24.2,54.0
2025-08-08 15:10:28,24.2,54.0
2025-08-08 15:20:28,24.3,54.0
2025-08-08 15:30:28,24.3,54.0
2025-08-08 15:40:28,24.3,54.0
2025-08-08 15:50:28,24.3,54.0
2025-08-08 16:00:28,24.3,54.0
2025-08-08 16:10:28,24.3,54.0
2025-08-08 16:20:28,24.3,54.0
2025-08-08 16:30:28,24.3,54.0
2025-08-08 16:40:28,24.3,54.0
2025-08-08 16:50:28,24.3,54.0
2025-08-08 17:00:28,24.4,54.0
2025-08-08 17:10:28,24.4,54.0
2025-08-08 17:20:28,24.4,53.0
2025-08-08 17:30:28,24.4,53.0
2025-08-08 17:40:28,24.4,53.0
2025-08-08 17:50:28,24.4,53.0
2025-08-08 18:00:28,24.5,53.0
2025-08-08 18:10:28,24.5,53.0
2025-08-08 18:20:28,24.5,53.0
2025-08-08 18:30:28,24.5,53.0
2025-08-08 18:40:28,24.5,52.0
2025-08-08 18:50:28,24.5,52.0
2025-08-08 19:00:28,24.5,52.0
2025-08-08 19:10:28,24.6,52.0
2025-08-08 19:20:28,24.6,52.0
2025-08-08 19:30:28,24.6,52.0
2025-08-08 19:40:28,24.6,52.0
2025-08-08 19:50:28,24.6,52.0
2025-08-08 20:00:28,24.7,52.0
2025-08-08 20:10:28,24.7,52.0
2025-08-08 20:20:28,24.7,52.0
2025-08-08 20:30:28,24.7,52.0
2025-08-08 20:40:28,24.8,52.0
2025-08-08 20:50:28,24.8,52.0
2025-08-08 21:00:28,24.8,52.0
2025-08-08 21:10:28,24.8,52.0
2025-08-08 21:20:28,24.8,52.0
2025-08-08 21:30:28,24.9,51.0
2025-08-08 21:40:28,24.9,51.0
2025-08-08 21:50:28,24.9,51.0
2025-08-08 22:00:28,24.9,51.0
2025-08-08 22:10:28,25.0,51.0
2025-08-08 22:20:28,25.0,51.0
2025-08-08 22:30:28,25.0,51.0
2025-08-08 22:40:28,25.0,51.0
2025-08-08 22:50:28,25.1,51.0
2025-08-08 23:00:28,25.1,51.0
2025-08-08 23:10:28,25.1,51.0
2025-08-08 23:20:28,25.1,51.0
2025-08-08 23:30:28,25.1,51.0
2025-08-08 23:40:28,25.2,50.0
2025-08-08 23:50:28,25.2,50.0
2025-08-09 00:00:28,25.2,50.0
2025-08-09 00:10:28,25.2,50.0
2025-08-09 00:20:28,25.3,50.0
2025-08-09 00:30:28,25.3,50.0
2025-08-09 00:40:28,25.3,50.0
2025-08-09 00:50:28,25.4,50.0
2025-08-09 01:00:28,25.4,50.0
2025-08-09 01:10:28,25.4,50.0
2025-08-09 01:20:28,25.5,49.0
2025-08-09 01:30:28,25.5,49.0
2025-08-09 01:40:28,25.6,49.0
2025-08-09 01:50:28,25.6,48.0
2025-08-09 02:00:28,25.6,48.0
2025-08-09 02:10:28,25.7,48.0
2025-08-09 02:20:28,25.7,48.0
2025-08-09 02:30:28,25.8,48.0
2025-08-09 02:40:28,25.8,48.0
2025-08-09 02:50:28,25.9,48.0
2025-08-09 03:00:28,25.9,48.0
2025-08-09 03:10:28,26.0,47.0
2025-08-09 03:20:28,26.0,47.0
2025-08-09 03:30:28,26.1,47.0
2025-08-09 03:40:28,26.1,47.0
2025-08-09 03:50:28,26.2,47.0
2025-08-09 04:00:28,26.3,47.0
2025-08-09 04:10:28,26.3,47.0
